id,reactionTime,elapsedTime,correct,answer,valance,congruency,block,phase,questionCounter,,,,
ex1.3.24,927,926,TRUE,?,neutral,/,1,1,6,,,,
ex1.1.24,902,516,TRUE,?,neutral,/,1,1,7,,,,
ex1.2.30,2046,582,TRUE,?,neutral,/,1,1,10,,,,
ex1.1.25,940,1204,TRUE,?,neutral,/,1,1,11,,,,
ex1.2.27,901,1701,TRUE,?,neutral,/,1,1,13,,,,
ex1.1.21,749,1661,TRUE,?,neutral,/,1,1,16,,,,
ex1.2.25,1182,894,TRUE,?,neutral,/,1,1,17,,,,
ex.1.4.23,1196,454,TRUE,?,neutral,/,1,1,18,,,,
ex1.3.27,1890,894,TRUE,?,neutral,/,1,1,23,,,,
ex1.1.28,756,518,TRUE,?,neutral,/,1,1,26,,,,
ex1.3.26,898,431,TRUE,?,neutral,/,1,1,27,,,,
ex.1.4.26,1067,790,TRUE,?,neutral,/,1,1,29,,,,
ex1.3.28,746,543,TRUE,?,neutral,/,1,1,30,,,,
ex1.3.30,1300,1142,TRUE,?,neutral,/,1,1,31,,,,
ex.1.4.29,678,771,TRUE,?,neutral,/,1,1,32,,,,
ex1.2.22,797,1438,TRUE,?,neutral,/,1,1,36,,,,
ex1.2.24,1153,450,TRUE,?,neutral,/,1,1,38,,,,
ex.1.4.22,926,992,TRUE,?,neutral,/,1,1,46,,,,
ex.1.4.25,843,706,TRUE,?,neutral,/,1,1,51,,,,
ex.1.4.28,544,609,TRUE,?,neutral,/,1,1,57,,,,
ex1.3.22,578,860,TRUE,?,neutral,/,1,1,58,,,,
ex1.1.26,775,571,TRUE,?,neutral,/,1,1,62,,,,
ex1.3.25,711,886,TRUE,?,neutral,/,1,1,69,,,,
ex1.1.29,974,404,TRUE,?,neutral,/,1,1,76,,,,
ex1.3.29,2464,1037,TRUE,?,neutral,/,1,1,79,,,,
ex.1.4.24,3197,1157,TRUE,?,neutral,/,1,1,80,,,,
ex1.1.22,871,970,TRUE,?,neutral,/,1,1,81,,,,
ex1.2.23,1367,671,TRUE,?,neutral,/,1,1,83,,,,
ex1.1.30,1030,551,TRUE,?,neutral,/,1,1,88,,,,
ex1.2.21,806,918,TRUE,?,neutral,/,1,1,89,,,,
ex.1.4.21,997,550,TRUE,?,neutral,/,1,1,90,,,,
ex1.3.23,997,460,TRUE,?,neutral,/,1,1,91,,,,
ex1.2.26,838,493,TRUE,?,neutral,/,1,1,94,,,,
ex1.1.27,1074,503,TRUE,?,neutral,/,1,1,98,,,,
ex1.1.23,1925,171,TRUE,?,neutral,/,1,1,100,,,,
ex1.3.21,1425,485,TRUE,?,neutral,/,1,1,106,,,,
ex1.2.28,958,1104,TRUE,?,neutral,/,1,1,112,,,,
ex.1.4.30,859,1967,TRUE,?,neutral,/,1,1,113,,,,
ex1.3.4,1080,709,TRUE,?,positive,congruent,1,1,1,,,,
ex1.3.2,991,366,TRUE,?,positive,congruent,1,1,4,,,,
ex1.1.2,746,426,TRUE,?,positive,congruent,1,1,12,,,,
ex1.3.3,945,1105,TRUE,?,positive,congruent,1,1,33,,,,
ex1.1.4,611,1263,TRUE,?,positive,congruent,1,1,35,,,,
ex1.1.3,1698,515,TRUE,?,positive,congruent,1,1,41,,accuracy,0.883333333,
ex.1.4.2,1190,1847,TRUE,?,positive,congruent,1,1,43,,,,
ex1.2.1,618,891,TRUE,?,positive,congruent,1,1,45,,,,
ex1.2.4,661,997,TRUE,?,positive,congruent,1,1,54,,,congruency,Incongruency
ex.1.4.4,528,558,TRUE,?,positive,congruent,1,1,55,,positive,19,18
ex1.1.5,591,1174,TRUE,?,positive,congruent,1,1,59,,negative,15,16
ex1.3.5,838,563,TRUE,?,positive,congruent,1,1,70,,,,
ex1.1.1,630,405,TRUE,?,positive,congruent,1,1,73,,RT mean/s,,
ex1.3.1,855,1081,TRUE,?,positive,congruent,1,1,92,,,congruency,Incongruency
ex1.2.3,717,621,TRUE,?,positive,congruent,1,1,103,,positive,841.632,889.778
ex.1.4.3,646,340,TRUE,?,positive,congruent,1,1,104,,negative,1094.867,"1,068.313"
ex.1.4.1,741,869,TRUE,?,positive,congruent,1,1,111,,,,
ex1.2.5,1192,788,TRUE,?,positive,congruent,1,1,116,,,,
ex1.2.2,713,1251,TRUE,?,positive,congruent,1,1,120,,ET mean/s,,
ex.1.4.20,833,557,TRUE,?,negative,congruent,1,1,3,,,congruency,Incongruency
ex1.2.16,1233,1612,TRUE,?,negative,congruent,1,1,20,,positive,829.947,927.278
